question,question_type,question_number,year,file_name
Identify and explain ONE continuity in European family life from 1700 through 1900. Identify and explain ONE change in European family life from 1700 through 1900. Identify and explain a SECOND distinct change in European family life from 1700 through 1900.,SAQ,1,2017,ap-european-history-frq-2017.txt
" For the period 1452–1500, identify and explain ONE cause that contributed to the geographical distribution of printing centers in Europe shown on the map. For the period 1500–1550, identify and explain ONE short-term cultural or political effect of the emergence of printing centers such as the ones shown on the map. For the period 1550–1789, identify and explain ONE long-term effect of the spread of printing on European society.",SAQ,2,2017,ap-european-history-frq-2017.txt
Provide ONE piece of evidence that would support Judt’s argument regarding the creation of welfare states. Provide ONE piece of evidence that would support Judt’s characterization of political and economic conditions in the period 1960 to 2000.,SAQ,3,2017,ap-european-history-frq-2017.txt
Analyze ONE way in which the passage reflects traditional views of the cosmos. Analyze ONE way in which the passage challenges traditional views of the cosmos. Choose ONE example of a scientific discovery made during the Scientific Revolution (other than the discoveries explicitly mentioned in the passage) and explain how it challenged traditional views of nature.,SAQ,4,2017,ap-european-history-frq-2017.txt
Evaluate whether or not the Glorious Revolution of 1688 can be considered part of the Enlightenment.,DBQ,1,2017,ap-european-history-frq-2017.txt
Describe and explain a significant similarity and a significant difference between the ways European states waged war in the period circa 1500–1648 and in the period circa 1750–1871. (Historical thinking skill: Comparison),LEQ,2,2017,ap-european-history-frq-2017.txt
Describe and explain a significant similarity and a significant difference between European governments’ role in the economy in the period circa 1650–1750 and in the period circa 1850–1950. (Historical thinking skill: Comparison),LEQ,3,2017,ap-european-history-frq-2017.txt
Analyze attitudes toward and evaluate the motivations behind the European acquisition of African colonies in the period 1880 to 1914.,DBQ,1,2009,ap09_frq_european_history.txt
Analyze the long-term and short-term factors responsible for the disintegration of communist rule in TWO of the following states: Czechoslovakia East Germany Hungary Poland,LEQ,2,2009,ap09_frq_european_history.txt
"Considering the period 1918 to 1948, analyze the political and diplomatic problems faced by TWO of the following newly created Eastern European states. Austria Czechoslovakia Hungary Poland",LEQ,3,2009,ap09_frq_european_history.txt
Analyze the extent to which Frederick the Great of Prussia and Joseph II of Austria advanced and did not advance Enlightenment ideals during their reigns.,LEQ,4,2009,ap09_frq_european_history.txt
Compare and contrast the economic factors responsible for the decline of Spain with the economic factors responsible for the decline of the Dutch Republic by the end of the seventeenth century.,LEQ,5,2009,ap09_frq_european_history.txt
Analyze various ways in which the Thirty Years’ War (1618-1648) represented a turning point in European history.,LEQ,6,2009,ap09_frq_european_history.txt
"Analyze how Galileo, Descartes, and Newton altered traditional interpretations of nature and challenged traditional sources of knowledge.",LEQ,7,2009,ap09_frq_european_history.txt
"Using specific examples from the documents below, analyze the purposes that rituals and festivals served in traditional European life. Historical Background: For centuries, traditional European life included a cycle of ritualized events and festivals. Carnival, which began as early as January and climaxed with the celebration of Mardi Gras (Fat Tuesday or Shrove Tuesday), was the most elaborate festival. Carnival was celebrated until Lent, the 40-day period of fasting and penance before Easter. Another major festival occurred on midsummer night’s eve. Some community rituals, like charivari (also known as “riding the stang”) could occur at any time during the year. Source: Brother Giovanni di Carlo, Dominican monk, Florence, 1468. Thus, as the appointed time arrived, all the sons convened in the square of the city. They represented all the leaders of the city. The sons’ portrayal of adult citizens was so good that it hardly would seem believable. For they had so carved their faces and countenances in masks that they might scarcely be distinguishable from their fathers, the leaders of the city. Their very sons had put on their clothes and the sons had learned all of their gestures, copying each and every one of their actions and habits in an admirable way. It was truly lovely for citizens who had convened at the public buildings to look on their very selves imitated with as much beauty and processional pomp as the regal magnificence of the most ample senate of the city, which their sons would proudly act out before them.",DBQ,1,2000,euro_hist_00.txt
Compare and contrast the political and economic policies of Joseph Stalin in the period before the Second World War and those of Mikhail Gorbachev (1985-1991).,LEQ,2,2000,euro_hist_00.txt
“Leadership determines the fate of a country.” Evaluate this quotation in terms of Spain’s experience under Philip II.,LEQ,3,2000,euro_hist_00.txt
Discuss three developments that enabled Great Britain to achieve a dominant economic position between 1700 and 1830 ?,LEQ,4,2000,euro_hist_00.txt
Evaluate how the ideas of Charles Darwin and Sigmund Freud challenged Enlightenment assumptions about human behavior and the role of reason.,LEQ,5,2000,euro_hist_00.txt
Man for the field and woman for the hearth: Man for the sword and for the needle she:,LEQ,6,2000,euro_hist_00.txt
Explain the development of the scientific method in the seventeenth century and the impact of scientific thinking on traditional sources of authority. SCRATCHWORK,LEQ,7,2000,euro_hist_00.txt
"Analyze the ways in which various people viewed the character and condition of Greeks in the Ottoman Empire during the Greek movement for independence in the eighteenth and early nineteenth centuries. Historical Background: During the eighteenth century, Greeks living in exile began to appeal to their fellow Greeks to free themselves from Ottoman rule. Greek nationalists urged Greeks living throughout the Balkans and Asia Minor to revolt against their Turkish Muslim rulers. An uprising in March 1821 began a nine-year war for independence. Several thousand European volunteers fought on the Greek side, while many more (known collectively as Philhellenes—“lovers of Greece”) raised money and spread pro-Greek views in Europe. Intervention by Russian, French and English forces in 1827 and 1828 ultimately forced the Turks to grant Greek independence, which was formally established by a multipower treaty in 1830.",DBQ,1,2001,euro_hist_01_6956.txt
Analyze how and why western European attitudes toward children and child-rearing changed in the period from 1750 to 1900.,LEQ,2,2001,euro_hist_01_6956.txt
Describe and analyze how overseas expansion by European states affected global trade and international relations from 1600 to 1715.,LEQ,3,2001,euro_hist_01_6956.txt
Discuss the political and social consequences of the Protestant Reformation in the first half of the sixteenth century,LEQ,4,2001,euro_hist_01_6956.txt
How did new theories in physics and psychology in the period from 1900 to 1939 challenge existing ideas about the individual and society?,LEQ,5,2001,euro_hist_01_6956.txt
Compare and contrast the political and economic effects of the Cold War (1945-1991) on Western Europe with the effects on Eastern Europe.,LEQ,6,2001,euro_hist_01_6956.txt
Compare and contrast the French Jacobins’ use of state power to achieve revolutionary goals during the Terror (1793-1794) with Stalin’s use of state power to achieve revolutionary goals in the Soviet Union during the period 1928 to 1939.,LEQ,7,2001,euro_hist_01_6956.txt
Describe one piece of evidence that would support the author’s characterization of Russia’s political cultureprior to the Bolshevik Revolution. b)Describe one piece of evidence that would support the author’s interpretation of Russia’s “new autocracy” inthe 1920s and 1930s. c)Describe one piece of evidence that would undermine the author’s argument in the passage that the “newautocracy” in Russia resembled the old.,SAQ,1,2019,ap19-frq-european-history.txt
Describe one way in which the image expresses ideas popularized during the Enlightenment. Describe one way in which the image reflects the policies of the French Revolutionary government’s radical phase. Describe one way in which the ideas in the image continued to influence European political thought after 1815.,SAQ,2,2019,ap19-frq-european-history.txt
Describe one cause of the Protestant Reformation in England during the reign of Henry VIII (1509–1547). Describe one political effect of the Protestant Reformation in England in the period 1500–1600. Explain one difference between political effects of the Protestant Reformation in England and political effects of the Protestant Reformation in France in the period 1500–1600.,SAQ,3,2019,ap19-frq-european-history.txt
Describe one cause of Great Britain’s early industrialization in the period 1700–1800. Describe one effect of Great Britain’s industrialization on the European balance of power in the period 1800–1900. Explain one political reaction to industrialization within Great Britain in the period 1800–1900.,SAQ,4,2019,ap19-frq-european-history.txt
Evaluate whether or not the Catholic Church in the 1600s was opposed to new ideas in science.,DBQ,1,2019,ap19-frq-european-history.txt
Evaluate the most significant effect of state centralization by European monarchs during the period 1450–1648.,LEQ,2,2019,ap19-frq-european-history.txt
Evaluate the most significant effect of population growth in Europe within the period 1700–1800.,LEQ,3,2019,ap19-frq-european-history.txt
Evaluate the most significant effect of the Great Depression in Europe during the period 1929–1950.,LEQ,4,2019,ap19-frq-european-history.txt
"How did the French, including Marshal Philippe Pétain, view the Vichy regime that he led from 1940 to 1944 ? Historical Background: In May 1940 Germany defeated France’s armies and drove its government from Paris. In June, eighty-four-year-old Marshal* Philippe Pétain was named prime minister. He arranged an armistice and agreed to German military occupation of more than half of France. In July, in a new capital at Vichy, Pétain became Chief of the French State (a regime without a legislature or constitution) until France’s 1944 liberation by the Allies. Pétain was condemned to death for treason in 1945, but Provisional President Charles de Gaulle commuted his sentence to life in prison, where he died in 1951. *Marshal (Maréchal de France) is the highest rank in the French army.",DBQ,1,2003,ap03_frq_euro_history_23075.txt
Compare and contrast the relationship between artists and society in the Baroque era and in the twentieth century. Illustrate your essay with references to at least TWO examples for each period.,LEQ,2,2003,ap03_frq_euro_history_23075.txt
To what extent and in what ways did women participate in the Renaissance?,LEQ,3,2003,ap03_frq_euro_history_23075.txt
Describe and analyze the influence of the Enlightenment on both elite culture and popular culture in the eighteenth century.,LEQ,4,2003,ap03_frq_euro_history_23075.txt
Compare and contrast political liberalism with political conservatism in the first half of the nineteenth century in Europe.,LEQ,5,2003,ap03_frq_euro_history_23075.txt
Explain why Europe saw no lasting peace in the period between the Peace of Westphalia in 1648 and the Peace of Paris in 1763.,LEQ,6,2003,ap03_frq_euro_history_23075.txt
Describe and analyze responses to industrialization by the working class between 1850 and 1914.,LEQ,7,2003,ap03_frq_euro_history_23075.txt
Analyze the debates over Italian national identity and unification in the period circa 1830–1870.,DBQ,1,2010,ap10_frq_euro_history_formb.txt
Compare and contrast the economic and social development of Russia with that of the Netherlands in the period 1600–1725.,LEQ,2,2010,ap10_frq_euro_history_formb.txt
Assess the ways in which women participated in and influenced TWO of the following.,LEQ,3,2010,ap10_frq_euro_history_formb.txt
"Analyze the ways in which the two works above, Perugino’s Christ Delivering the Keys of the Kingdom to Saint Peter (1481–1483) on the left, and Michelangelo’s David (1501–1504) on the right, represent the values of Italian Renaissance culture.",LEQ,4,2010,ap10_frq_euro_history_formb.txt
Analyze the political and economic effects of changing population patterns in Western Europe in the period circa 1950 to the present. Cite specific examples from at least TWO countries.,LEQ,5,2010,ap10_frq_euro_history_formb.txt
Analyze the ways in which the ideas of seventeenth-century thinkers John Locke and Isaac Newton contributed to the ideas of eighteenth-century Enlightenment thinkers.,LEQ,6,2010,ap10_frq_euro_history_formb.txt
Analyze the development of the various forms of European socialism in the 1800s.,LEQ,7,2010,ap10_frq_euro_history_formb.txt
Describe and analyze changing views toward the concept of a “civil peace” (Burgfrieden) in Germany from 1914 to 1918.,DBQ,1,2003,ap03_frq_euro_history_23074.txt
Identify features of the eighteenth-century Agricultural Revolution and analyze its social and economic consequences.,LEQ,2,2003,ap03_frq_euro_history_23074.txt
"Louis XIV declared his goal was “one king, one law, one faith.” Analyze the methods the king used to achieve this objective and discuss the extent to which he was successful.",LEQ,3,2003,ap03_frq_euro_history_23074.txt
Explain how advances in learning and technology influenced fifteenth- and sixteenth-century European exploration and trade.,LEQ,4,2003,ap03_frq_euro_history_23074.txt
Analyze three reasons for the end of Soviet domination over Eastern Europe.,LEQ,5,2003,ap03_frq_euro_history_23074.txt
Analyze three examples of the relationship between Romanticism and nationalism before 1850.,LEQ,6,2003,ap03_frq_euro_history_23074.txt
How and to what extent did Enlightenment ideas about religion and society shape the policies of the French Revolution in the period 1789 to 1799 ?,LEQ,7,2003,ap03_frq_euro_history_23074.txt
Analyze the arguments and practices concerning religious toleration from the sixteenth to the eighteenth century.,DBQ,1,2013,ap13_frq_euro_history.txt
