question,question_type,question_number,year,question_url,exam_edition
Briefly describe ONE major difference between Stampp’s and Foner’s historical interpretations of Reconstruction. Briefly explain how ONE specific historical event or development in the period from 1863 to 1900 not directly mentioned in the excerpts could be used to support Stampp’s argument. Briefly explain how ONE specific historical event or development in the period from 1863 to 1900 not directly mentioned in the excerpts could be used to support Foner’s argument.,SAQ,1,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Briefly describe ONE historical situation in the United States during the Second World War suggested by the image. Briefly explain how ONE specific event or development in the period from 1900 to 1941 led to the historical situation for women suggested by the image. Briefly explain how ONE specific event or development in the period from 1944 to 1970 resulted from the historical situation suggested by the image.,SAQ,2,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Briefly describe ONE specific historical continuity in relations between American Indians and the United States in the period from 1776 to 1815. Briefly describe ONE specific historical change in relations between American Indians and the United States in the period from 1776 to 1815. Briefly explain how ONE historical development in the period from 1815 to 1848 arose from earlier changes in relations between American Indians and the United States.,SAQ,3,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Briefly describe ONE specific historical continuity in industrial work in the period from 1865 to 1898. Briefly describe ONE specific historical change in industrial work in the period from 1865 to 1898. Briefly explain how ONE specific historical development between 1865 and 1920 was a response to the change in industrial work.,SAQ,4,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Evaluate the extent to which economic growth led to changes in United States society in the period from 1940 to 1970.,DBQ,1,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Evaluate the extent to which trans-Atlantic voyages in the period from 1491 to 1607 affected the Americas.,LEQ,2,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Evaluate the relative importance of causes of reform activity in the United States in the period from 1800 to 1848.,LEQ,3,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Evaluate the extent to which international conflicts in the period from 1898 to 1930 affected the role of the United States in the world.,LEQ,4,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
"Briefly describe ONE major difference between Crane’s and Zagarri’s historical interpretations of theimmediate impact of the American Revolution on women. Briefly explain how ONE event, development, or circumstance from the period 1765 to 1800 that is notexplicitly mentioned in the excerpts could be used to support Crane’s argument. Briefly explain how ONE event, development, or circumstance from the period 1765 to 1800 that is notexplicitly mentioned in the excerpts could be used to support Zagarri’s argument.",SAQ,1,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Briefly describe ONE historical perspective expressed in the image. Briefly explain how ONE specific event or development in the period from 1800 to 1850 contributed to the process depicted in the image. Briefly explain ONE specific historical effect in the period from 1844 to 1890 that resulted from the process depicted in the image.,SAQ,2,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Confine your response to the period from 1607 to 1754. Briefly describe one difference between the economy of British North American colonies in the Chesapeake region (such as Virginia and Maryland) and the economy of the middle colonies (such as Pennsylvania and New York). Briefly describe one similarity between the economy of the Chesapeake colonies and the economy of the middle colonies. Briefly explain one reason for a difference between the economy of the Chesapeake colonies and the economy of the middle colonies.,SAQ,3,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Briefly describe ONE similarity between New Deal and Great Society programs. Briefly describe ONE difference between New Deal and Great Society programs. Briefly explain ONE reason for a difference between New Deal and Great Society programs.,SAQ,4,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Evaluate the extent to which the Progressive movement fostered political change in the United States from1890 to 1920.,DBQ,1,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Evaluate the extent to which ideas of self-government influenced American colonial reaction to British imperialauthority in the period from 1754 to 1776.,LEQ,2,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Evaluate the extent to which debates over slavery in the period from 1830 to 1860 led the United States into theCivil War.,LEQ,3,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Evaluate the extent to which ideas about democracy contributed to the African American Civil Rightsmovement in the period from 1940 to 1970.,LEQ,4,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Briefly describe ONE major difference between Nash’s and Maier’s historical interpretations of the origins of the American Revolution. Briefly explain how ONE specific historical event or development from the period 1754 to 1800 that is not explicitly mentioned in the excerpts could be used to support Nash’s argument. Briefly explain how ONE specific historical event or development from the period 1754 to 1800 that is not explicitly mentioned in the excerpts could be used to support Maier’s argument.,SAQ,1,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Confine your response to the period from 1500 to 1750. Briefly describe ONE specific historical difference between the role of religion in Spanish colonization and in the colonization of New England. Briefly describe ONE specific historical similarity between the role of religion in Spanish colonization and in the colonization of New England. Briefly explain ONE specific historical effect of religion on the development of society in either the Spanish colonies or the New England colonies.,SAQ,2,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Briefly describe ONE specific historical difference between the internal migration patterns within the United States in the period 1910 to 1940 and the internal migration patterns in the period 1941 to 1980.,SAQ,3,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Evaluate the relative importance of different causes for the expanding role of the United States in the world in the period from 1865 to 1910.,SAQ,4,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Evaluate the extent to which commercial exchange systems such as mercantilism fostered change in the British North American economy in the period from 1660 to 1775.,DBQ,1,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Evaluate the extent to which the Civil War fostered change in the United States economy in the period from 1861 to 1900.,LEQ,2,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Evaluate the extent to which scientific or technological innovation changed the United States economy in the period from 1950 to 2000.,LEQ,3,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Briefly explain how ONE specific historical development represents an accomplishment of the nationalgovernment under the Articles of Confederation. Briefly explain ONE specific argument critics used in the 1780s to support revising the Articles ofConfederation. Briefly explain ONE specific way in which the United States Constitution addresses a criticism of the Articlesof Confederation.,SAQ,1,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
Briefly explain ONE important way in which the Second World War (1939–1945) transformed the relationshipof the United States with the rest of the world. Briefly explain ONE important way in which the Second World War transformed United States society. Briefly explain ANOTHER important way in which the Second World War transformed United States society.,SAQ,2,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
Briefly explain ONE historical perspective expressed by the artist about the changes from the period1869–1877 to the period 1877–1881. Briefly explain how ONE specific event or development led to a historical change suggested by the images. Briefly explain ONE specific result in the period 1877–1900 of a historical change suggested by the images.,SAQ,3,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
Briefly explain ONE major difference between VanDeMark’s and McMaster’s historical interpretations of theUnited States involvement in the Vietnam War. Briefly explain how ONE historical event or development in the period 1945 to 1975 that is not explicitlymentioned in the excerpts could be used to support VanDeMark’s interpretation. Briefly explain how ONE historical event or development in the period 1945 to 1975 that is not explicitlymentioned in the excerpts could be used to support McMaster’s interpretation.,SAQ,4,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
Evaluate the extent of change in ideas about American independence from 1763 to 1783.,DBQ,1,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
Evaluate the extent to which the market revolution marked a turning point in women’s lives in the United States.,LEQ,2,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
"Evaluate the extent to which the ratification of the Nineteenth Amendment to the Constitution, which guaranteed women the right to vote, marked a turning point in United States women’s history.",LEQ,3,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
"Usingthegraphabove,answer(a),(b),and(c). BrieflyexplainhowONEmajorhistoricalfactorcontributedtothechangedepictedonthegraph. BrieflyexplainONEspecifichistoricaleffectthatresultedfromthechangedepictedonthegraph. BrieflyexplainANOTHERspecifichistoricaleffectthatresultedfromthechangedepictedonthegraph.",SAQ,1,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
Briefly explain ONE important similarity between the goals of the Spanish and the English in establishingcolonies in the Americas prior to 1700. Briefly explain ONE important difference between the goals of the Spanish and the English in establishingcolonies in the Americas prior to 1700. Briefly explain ONE way in which the difference you indicated incontributed to a difference in thedevelopment of Spanish and English colonial societies.,SAQ,2,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
