source_content,source_number,question_type,question_number,year,question_url,exam_edition
"Source: President Franklin D. Roosevelt’s statement on signing the GI Bill of Rights, June 22, 1944 [This bill] gives servicemen and women the opportunity of resuming their education or technical training after discharge, or of taking a refresher or retrainer course, not only without tuition charge up to $500 per school year, but with the right to receive a monthly living allowance while pursuing their studies. It makes provision for the guarantee by the Federal Government of not to exceed 50 percent of certain loans made to veterans for the purchase or construction of homes, farms, and business properties.",1,DBQ,1,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
"Source: Property deed to the McIntosh family for a home in Seattle, Washington, 1947 This deed is made subject to the following restrictions, conditions, limitations, covenants and agreements, which shall run with the land and be binding upon the heirs, executors, administrators.... 1. No part of said property shall ever be used or occupied by any person of any Asiatic, Negro, Hawaiian, or Malay race, or any person of extraction or descent of any such race, and the grantee or his successors in interest, shall not place any such person in possession or occupancy of said property, or any part thereof, or permit said property, or any part thereof, to be used or occupied by any such person, except that these provisions shall not prevent the residence upon said property of persons of any such race actually employed in domestic or menial service upon said property by occupants of said premises qualified by race as occupants hereunder.",2,DBQ,1,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
"Source: “This is How I Keep House,” McCall’s magazine, 1949 Bringing a new baby into a tiny city apartment, Helen Eckhoff says, taught her as nothing else could the importance of good housekeeping equipment and careful planning before and after a baby arrives. When she and [her husband] Bob discovered, shortly after moving to [a suburb], that they were going to have a second child they began planning for it months in advance.... One of Helen’s greatest joys in her new home is the washing machine, which takes care of the family’s regular laundry...and is invaluable for all the slip covers, curtains, etc., that Helen plans to have spic and span before the baby comes.... Besides her house cleaning economies she saves time for the weekend by carefully planning her Saturday baking and by preparing casserole dishes and quick refrigerator desserts. “It means” she says, “that Bob and I have just about as much social life as we ever did. Naturally I don’t gad about, but there’s always time to have people over. On Saturday night we usually have a television party. Refreshments are simple and we don’t use many dishes so it’s just as relaxing for me as for the guests.”",3,DBQ,1,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
"Source: Automobile advertisement, 1950 The figure presents an advertisement page titled “Now thousands own two fine cars!” The following three paragraphs are provided below the title. Paragraph 1: When over a quarter million families are two car families, there must be a reason! And there are many! They are sold on the convenience of two cars in general and the economy of this car in particular! Paragraph 2: With scientifically contoured Power Dome combustion chambers both the 100 horse power V 8 and the 95 horsepower Six give the high compression performance on regular gas — a saving that really adds up! And remember, for style this car has been awarded the Fashion Academy’s Gold Medal as “Fashion Car of the Year” for the second year in a row. Paragraph 3: “Test Drive” it at your Dealer’s today. The car you now own may well provide the down payment on two new cars! To the right of these paragraphs there is a picture titled “The Convertible,” which shows a man with a dog and talking to three women in and around a convertible. A caption below the picture reads: Nothing is smarter, nothing more fun to drive. Your choice of fabric and leather or all leather upholstery and 11 different body colors. And the top goes up or down in seconds, automatically. Below this paragraph a banner reads: There’s a car in your future…with a future built in. Below this banner is a picture titled “The Two Door Sedan,” which shows two women feeding a goose next to a car with a man in the driver’s seat. A caption below the picture reads: A “personal” car with all quality features! Mid Ship Ride! Lifeguard Body! 35 percent easier acting King Size Brakes! And a Deep Deck Luggage Locker that holds all the bags and baggage!The Advertising Archives / Alamy Stock Photo",4,DBQ,1,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
"Source: William H. Whyte, Jr., The Organization Man, 1956 This book is about the organization man....[Organization men] are not the workers, nor are they the white-collar people in the usual, clerk sense of the word. These people only work for The Organization. The ones I am talking about belong to it as well. They are the ones of our middle class who have left home, spiritually as well as physically, to take the vows of organization life, and it is they who are the mind and soul of our great self-perpetuating institutions.... They are all, as they so often put it, in the same boat. Listen to them talk to each other over the front lawns of their suburbia and you cannot help but be struck by how well they grasp the common denominators which bind them.... Theyare wry about it, to be sure; they talk of the “treadmill,” the “rat race,” of the inability to control one’s direction. But they have no great sense of plight; between themselves and organization they believe they see an ultimate harmony....",5,DBQ,1,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
"The figure presents a map of the continental United States titled “National System of Interstate and Defense Highways, as of June, 1958.” A key in the map is labeled “Interstate Highways,” and a double line represents 2 lanes and a thick single line represents 4 lanes or more. The following cities are indicated on the map: New York, Washington D.C., Atlanta, St. Louis, Chicago, San Antonio, Denver, and San Francisco. Most of the highways in the northeast and southeast are 4 lane or more highways. There are slightly more 2 lane highways in the New England region and in the Southeast. In the northeast, southeast, and northern Midwest, the highways are more tightly intertwined than in other regions on the map. Throughout the western half of the United States, there are about an equal number of 2 lane and 4 lane or more highways.",6,DBQ,1,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
"Source:Q. Mowbray, journalist, Road to Ruin, 1969 [An engineering firm] laid out a freeway system for the city of Nashville.... [Interstate Route 40], instead ofcoming straight into the city, would swing north on a wide loop through the center of the Negro community in North Nashville, where it would wipe out Negro homes and churches, slice through a Negro college complex, and run along the main business street for sixteen blocks, wiping out all the Negro-owned businesses on one side of the street and isolating those on the other side from their customers. Some 650 homes, 27 apartment buildings, and several churches would be pounded into rubble. Isolation of the ghetto would be increased by the creation of fifty dead-end streets along the course of the expressway.",7,DBQ,1,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
"Source: Jane Addams, Twenty Years at Hull-House, 1910, describing events in the 1890s. [The] Hull-House [social settlement] had instigated [a political campaign] against a powerful alderman who has held office for more than twenty years in the nineteenth ward, and who, although notoriously corrupt, is still firmly intrenched among his constituents.... We soon discovered that approximately one out of every five voters in the nineteenth ward at that time held a job dependent upon the good will of the alderman. There were no civil service rules to interfere, and the unskilled voter swept the street and dug the sewer, as secure in his position as the more sophisticated voter who tended a bridge or occupied an office chair in the city hall.... Another result of the campaign was an expectation on the part of our new political friends that Hull-House would perform like offices for them, and there resulted endless confusion and misunderstanding because in many cases we could not even attempt to do what the alderman constantly did with a right good will. When he protected a law breaker from the legal consequences of his act, his kindness appeared, not only to himself but to all beholders, like the deed of a powerful and kindly statesman. When Hull-House on the other hand insisted that a law must be enforced, it could but appear like the persecution of the offender. We were certainly not anxious for consistency nor for individual achievement, but in a desire to foster a higher political morality and not to lower our standards, we constantly clashed with the existing political code.",1,DBQ,1,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
"Source: President Theodore Roosevelt, speech at Providence, Rhode Island, 1902. The great corporations which we have grown to speak of rather loosely as trusts are the creatures of the State, and the State not only has the right to control them, but it is in duty bound to control them wherever the need of such control is shown. There is clearly need of supervision—need to possess the power of regulation of these great corporations through the representatives of the public—wherever, as in our own country at the present time, business corporations become so very powerful alike for beneficent work and for work that is not always beneficent. It is idle to say that there is no need for such supervision. There is, and a sufficient warrant for it is to be found in any one of the admitted evils appertaining to them.",2,DBQ,1,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
"Source: Julian W. Mack, “The Juvenile Court,” Harvard Law Review, 1909. Why is it not just and proper to treat these juvenile offenders, as we deal with the neglected children, as a wise and merciful father handles his own child whose errors are not discovered by the authorities? Why is it not the duty of the state, instead of asking merely whether a boy or a girl has committed a specific offense, to find out what he is, physically, mentally, morally, and then if it learns that he is treading the path that leads to criminality, to take him in charge, not so much to punish as to reform, not to degrade but to uplift, not to crush but to develop, not to make him a criminal but a worthy citizen. And it is this thought—the thought that the child who has begun to go wrong, who is incorrigible, who has broken a law or an ordinance, is to be taken in hand by the state, not as an enemy but as a protector, as the ultimate guardian...;itis this principle, which...wasfirst fully and clearly declared, in the Act under which the Juvenile Court of Cook County, Illinois, was opened in Chicago on July 1, 1899.",3,DBQ,1,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
