question,question_type,question_number,year,file_name
Identify and explain ONE way in which the interaction depicted in the image represents a continuity in Chinese imperial history. Identify and explain ANOTHER way in which the interaction depicted in the image represents a continuity in Chinese imperial history. Identify and explain ONE way in which the interaction between imperial China and Central Asian nomads changed after 1100 C.E.,SAQ,1,2017,ap-world-history-frq-2017.txt
Identify and explain ONE historically specific example of intensified human land use in the period 1450–1750 C.E. that would support the author’s argument. Identify and explain ONE historically specific example from the period before 1450 C.E. in which humans interacted with the environment in ways similar to those described in the passage. Identify and explain ONE late-twentieth-century development that likely explains historians’ interest in the subject of the passage.,SAQ,2,2017,ap-world-history-frq-2017.txt
Identify and explain ONE way in which industrialization in the period circa 1750–1900 can be considered an economic turning point in global history. Identify and explain ONE way in which industrialization in the period circa 1750–1900 can be considered a political turning point in global history. Identify and explain ONE way in which industrialization in the period circa 1750–1900 can be considered a social turning point in global history.,SAQ,3,2017,ap-world-history-frq-2017.txt
Identify ONE technology that has contributed to globalization since the end of the Second World War and explain how it contributed to globalization. Identify a SECOND technology that has contributed to globalization since the end of the Second World War and explain how it contributed to globalization. Identify a THIRD technology that has contributed to globalization since the end of the Second World War and explain how it contributed to globalization.,SAQ,4,2017,ap-world-history-frq-2017.txt
Evaluate the extent to which religious responses to wealth accumulation in Eurasia in the period circa 600 B.C.E. to 1500 C.E. differed from state responses to wealth accumulation.,DBQ,1,2017,ap-world-history-frq-2017.txt
Describe and explain a significant continuity and a significant change in labor migration in the period1450–1750 C.E. (Historical thinking skill: Continuity and Change),LEQ,2,2017,ap-world-history-frq-2017.txt
Describe and explain a significant continuity and a significant change in the global balance of political powerin the period 1900 C.E. to the present. (Historical thinking skill: Continuity and Change),LEQ,3,2017,ap-world-history-frq-2017.txt
"Using the following documents, analyze the relationship between cricket and politics in South Asia from 1880 to 2005. Identify an additional type of document and briefly explain how it would help analyze the relationship between cricket and politics.",DBQ,1,2012,ap12_frq_world_history.txt
Analyze continuities and changes in trade networks between Africa and Eurasia from circa 300 C.E. to 1450 C.E.,LEQ,2,2012,ap12_frq_world_history.txt
Compare demographic and environmental effects of the Columbian Exchange on the Americas with the Columbian Exchange’s demographic and environmental effects on ONE of the following regions between 1492 and 1750. Africa Asia Europe,LEQ,3,2012,ap12_frq_world_history.txt
"Using the following documents, analyze similarities and differences in the mechanization of the cotton industry in Japan and India in the period from the 1880s to the 1930s. Identify an additional type of document and explain how it would help your analysis of the mechanization of the cotton industry.",DBQ,1,2010,ap10_frq_world_history.txt
Describe and explain continuities and changes in religious beliefs and practices in ONE of the following regions from 1450 to the present. Sub-Saharan Africa Latin America/Caribbean,LEQ,2,2010,ap10_frq_world_history.txt
Analyze similarities and differences in methods of political control in TWO of the following empires in the Classical period. Han China (206 B.C.E.–220 C.E.) Mauryan/Gupta India (320 B.C.E.–550 C.E.) Imperial Rome (31 B.C.E.–476 C.E.),LEQ,3,2010,ap10_frq_world_history.txt
"Using the documents, analyze Han and Roman attitudes toward technology. Identify one additional type of document and explain briefly how it would help your analysis.",DBQ,1,2007,ap07_world_hist_frq.txt
Analyze major changes and continuities in the formation of national identities in ONE of the regions listed below from 1914 to the present. Be sure to include evidence from specific countries in the region selected. Middle East Southeast Asia Sub-Saharan Africa,LEQ,2,2007,ap07_world_hist_frq.txt
"Within the period from 1450 to 1800, compare the processes (e.g., political, social, economic) of empire building in the Spanish Empire with the empire-building processes in ONE of the following. The Ottoman Empire OR The Russian Empire",LEQ,3,2007,ap07_world_hist_frq.txt
"Using the following documents, analyze the relationships between gender and politics in twentieth-century Latin America. Identify one additional type of document and explain how it would help your analysis.",DBQ,1,2016,ap16_frq_world_history.txt
Analyze economic continuities and changes in trade networks within Afro-Eurasia in the period from 600 C.E. to 1450 C.E.,LEQ,2,2016,ap16_frq_world_history.txt
Analyze similarities and differences in the causes of TWO of the followingrevolutions. American Revolution (1775–1781),LEQ,3,2016,ap16_frq_world_history.txt
Identify ONE historical example of mass violence that was committed by a totalitarian state in the twentieth century that would support Rummel’s argument in the passage. Explain ONE historical example of a democratic state committing mass violence that would challenge Rummel’s argument regarding democracies and mass violence. Explain ONE development in the late twentieth century that likely shaped Rummel’s view of the relationship between democracy and mass violence.,SAQ,1,2018,ap18-frq-world-history.txt
"Identify ONE way in which the event depicted in the image reflects political changes in the global balance of power in the eighteenth century. Explain ONE way in which the event depicted in the image reflects economic changes in Asia in the eighteenth century. Explain ONE significant way in which Great Britain’s relationship with South Asia changed in the nineteenth century, compared with the relationship depicted in the image.",SAQ,2,2018,ap18-frq-world-history.txt
Explain ONE difference in the way in which nomadic and sedentary societies in Afro-Eurasia before 1450 C.E. adapted to their environment. Explain ONE similarity between the economic practices of nomadic and sedentary societies in Afro-Eurasia in the period 600–1450 C.E. Explain ONE major pattern of cultural interaction between nomadic and sedentary societies in Afro-Eurasia before 1450 C.E.,SAQ,3,2018,ap18-frq-world-history.txt
Identify ONE similarity between agricultural developments in the period circa 1450–1900 and the Green Revolution of the twentieth century. Explain ONE difference between agricultural developments in the period circa 1450–1900 and the Green Revolution of the twentieth century. Explain ONE political or social response to the Green Revolution in the twentieth century.,SAQ,4,2018,ap18-frq-world-history.txt
Evaluate the extent to which railroads affected the process of empire-building in Afro-Eurasia between 1860 and 1918.,DBQ,1,2018,ap18-frq-world-history.txt
"In the period 600 B.C.E. to 600 C.E., different factors led to the emergence and spread of new religions and belief systems, such as Buddhism, Confucianism, and Christianity. Develop an argument that evaluates how such factors led to the emergence or spread of one or more religions in this time period.",LEQ,2,2018,ap18-frq-world-history.txt
