source_content,source_number,question_type,question_number,year,file_name
" 
Source: The Chronicle of Zuo, one of the earliest Chinese historical works, composed during the Warring States period, circa 350 B.C.E. 
An ambassador from another [Chinese] state desired a jade ring that belonged to a merchant who resided in the Chinese state of Lu. So the ambassador begged Zi Chan, a Lu official, to have the ring confiscated from the merchant and given to him. Zi Chan, however, refused, saying, “One of our ancient rulers made a pact with the merchants in our state, to last through all generations. The pact said, ‘If you do not revolt against me [the ruler], I will not violently interfere with your commerce. I will not beg or take anything from you, and you may have your profitable markets, precious things, and substance, without my taking any knowledge of them.’ Through this attested covenant, our rulers and the merchants who live in our territory have preserved their mutual relations down to the present day. If you get the jade and lose a friendly state, wouldn’t that be a mistake?” 
The ambassador then changed his mind, saying, “I presumed in my stupidity to ask for the jade, which would have occasioned such a calamity. Let me now withdraw my request.” 

",1,DBQ,1,2017,ap-world-history-frq-2017.txt
" 
Source: Chanakya, advisor to the first Mauryan emperor, Arthashastra, economic and political treatise, circa 250 B.C.E. 
The Superintendent of Commerce shall monitor demand and the changing prices of various kinds of merchandise, both domestically produced and brought from other countries. He shall also determine the time suitable for the distribution, purchase, and sale of various kinds of merchandise. He shall avoid setting prices that allow for such large profits for merchants as to harm the people. 
All those who sell merchandise shall submit to the Superintendent their sale reports, saying “this much has been sold and this much remains”; they shall also hand over their weights and measures for inspection. 
The Superintendent of Commerce shall fix prices to allow a profit of five percent for local commodities and ten percent on foreign produce. Merchants who inflate the price even half a penny more than that shall be punished with a fine. 
",2,DBQ,1,2017,ap-world-history-frq-2017.txt
" 
Source: Marcus Tullius Cicero, Roman statesman and philosopher, An Essay about Duties, circa 50 B.C.E. 
We generally accept as true the following statements about trade and occupations, in regard to which are suitable for gentlemen and which are vulgar. First, those occupations are condemned, which bring upon you peoples’ hatred, such as tax collecting and moneylending. Also vulgar and unsuitable for gentlemen are the occupations of all hired workmen whom we pay for their labor, not for their artistic skills. Also to be considered vulgar are retail merchants, who buy from wholesale merchants and immediately turn around and resell; for they would not make a profit unless they lied a lot. Of all the occupations from which profit is accrued, none is better than agriculture, none more profitable, none more delightful, none more suitable to a free man.... 
When Cato [a Roman statesman well-known for his moral integrity] was asked what was the best form of property ownership he replied. “Raising livestock with great success.” And after that? “Raising livestock with little success.” And third? “Raising crops.” And when the person asking the questions said, “What about moneylending?” Cato replied, “What about murder?” 

",3,DBQ,1,2017,ap-world-history-frq-2017.txt
" 
Source: Gerontius, Christian monk, The Life of Melania the Younger, a saint’s biography composed circa 450 C.E. 
The blessed Melania [383–438 C.E.] and her husband Pinian both came from foremost [Roman] families of senatorial rank. But they resolved to abandon their frivolous and worldly mode of life and experience an angelic, heavenly purpose. They left the great city of Rome and went to their suburban estate, where they devoted themselves to the practice of the virtues. They knew that it was impossible for them to offer pure worship to God unless they made themselves enemies to the confusions of a wealthy life.... [Melania described their estate in the following manner:] “It was an extraordinary piece of property and in it stood a bath that surpassed any other in worldly splendor. The estate had a total of sixty-two settlements within its borders, with four hundred slaves. But I knew that it was the Devil who set before me those multicolored marbles, the villa, and all that inestimable revenue.” So the blessed ones fearlessly gave away all their possessions, which were enough for the entire world. They established monasteries of monks and nuns, furnishing each place with a sufficient amount of gold. They presented their numerous expensive silk clothes at the altars of churches and made many other offerings to God. 
",4,DBQ,1,2017,ap-world-history-frq-2017.txt
" 
Source: The Qur’an, the holy book of Islam 
O you who believe! Spend on others out of the good things you may have acquired, and out of that which God brings forth for you from the earth; and choose not for your charity things that you yourselves would not want or accept without averting your eyes in disdain. Satan threatens you with the prospect of poverty and bids you to be stingy, but God is infinite, all-knowing, granting wisdom unto whom He wills. Whatever you may spend on others, or vow to spend, God knows it; and those who do wrong by withholding charity shall have no one to comfort them. If you do deeds of charity openly, it is well, but if you bestow it upon the needy in secret, it will be even better for you, and it will atone for some of your bad deeds. 

",5,DBQ,1,2017,ap-world-history-frq-2017.txt
" 
Source: Painting from the Buddhist cave temples at Bezeklik, Central Asia, circa 800 C.E. The painting shows 
the Buddha and bodhisattvas
* blessing Central Asian traders bearing gifts for the Bezeklik temples. 
China: Bezeklik Thousand Buddha Caves, Turfan, Xinjiang: Pranidhi scene / Pictures from History / Bridgeman Images 
* Buddhist holy figures 
",6,DBQ,1,2017,ap-world-history-frq-2017.txt
" 
Source: Ganapatideva, ruler of the South Indian Kakatiya state, edict, circa 1245 C.E.
By the glorious king Ganapatideva the following edict assuring safety has been granted to sea traders starting for and arriving from all continents, islands, foreign countries, and cities: Formerly kings used to take away by force the whole cargo—elephants, horses, gems, etc.—carried by ships and vessels which, after they had started from one country to another, were attacked by storms and wrecked ashore. But We, out of mercy, for the sake of glory and merit, hereby pledge to leave everything except the fixed duty to those who have incurred the great risk of a sea-voyage with the thought that wealth is more valuable than even life. The rate of this duty is one thirtieth on all exports and imports. 
",7,DBQ,1,2017,ap-world-history-frq-2017.txt
"DETAIL IMAGE FROM A SCROLL PAINTED DURING THE SONG DYNASTY, CIRCA 1100 C.E.
 
The Granger Collection, New York 
The image shows (on left) Guo Ziyi, a Chinese general of the Tang dynasty, meeting with Uighur nomads on the frontier of China. 
",0,SAQ,1,2017,ap-world-history-frq-2017.txt
"“First and most important in the early modern era [1450–1750 C.E.] is the intensified human land use in every world region. Rising human numbers put increasing pressure on the land. Almost invariably [human] expansion caused a reduction in the quantity and diversity of vegetation or, to put it in other terms, a reduction in biomass and biodiversity. That is, sedentary cultivation depended on selection of one or a few favored plant species...in place of a variety of grass, shrubs, and trees....Agriculture  was and continues to be the single most important means by which humans change the world’s lands and its ecosystems.” 
John F. Richards, historian, The Unending Frontier: An Environmental History of the Early Modern World, 2003 
",0,SAQ,2,2017,ap-world-history-frq-2017.txt
" 

Source: Indian cricket players, petition to Sir James Fergusson, governor of the province of Bombay, India, 1881. 
Ever since the British introduced the noble game of cricket among the natives of Bombay nearly twenty years ago, more than five hundred young men of all ages and of all castes pursue this healthful sport on the Parade ground where alone they are permitted to play and which is the only ground suitable for cricket.  
Therefore, we cannot understand that the comforts and convenience of the half-a-dozen English gentlemen, who generally play polo, should be preferred to the necessary healthful recreation of over five hundred native youths. The polo ponies completely ruin the turf and render the ground unsuited to cricket. 
Under the circumstances, will your Excellency and council please request that the English play polo on another spot or allow your Petitioners to play along with the English on the ground at present reserved for the exclusive use of the English cricketers and which is much too large for their requirements? 



",1,DBQ,1,2012,ap12_frq_world_history.txt
