question,question_type,question_number,year,question_url,exam_edition
"In April of 2018, Mark Zuckerberg, the founder of the social media company Facebook, was called to testify before the Senate Committee on the Judiciary and the Senate Committee on Commerce, Science, and Transportation about, among other things, a data leak that led to 87 million Facebook users’ private information being sold without their consent. Senators questioned Zuckerberg about whether Facebook could adequately regulate itself and protect personal information or whether Congress should intervene. Zuckerberg defended the company, emphasizing its mission to better connect the world. In response, Zuckerberg stated, “My position is not that there should be no regulation. I think the real question, as the Internet becomes more important in people’s lives, is what is the right regulation, not whether there should be or not.” After reading the scenario, respond to A, B, and C below. A.Referencing the scenario, describe the enumerated power in Article I of the Constitution that gives Congress the authority to regulate a business like the one above. B.Explain how the two-chamber structure of the legislature affects the ability of Congress to exercise the power described in . C.If Congress decides to regulate how social media companies gather and use the data of their users, explain how these companies could use the political process to ensure that the new regulation does not negatively affect them.",SAQ,1,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-gov-pol-set-1.pdf,Set 1
Use the bar graphs to answer the following questions. A.Identify the president who had the highest percentage of women and racial/ethnic minorities serving in the Cabinet. B.Describe a pattern in the percentage of racial and ethnic minorities serving in Cabinet positions. C.Draw a conclusion about the political parties and the diversity of Cabinet appointments as shown in the bar graphs. D.Explain how interest groups can influence presidential Cabinet appointments as shown in the bar graphs.,SAQ,2,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-gov-pol-set-1.pdf,Set 1
"Alabama businessman Shaun McCutcheon contributed $33,088 to sixteen different candidates running for federal office in 2012. His donations exceeded the aggregate (total) campaign finance limit established by the Bipartisan Campaign Reform Act (BCRA) of 2002. This law limited the total amount of political contributions that an individual could make in a given two-year election period to federal candidates, federal political action committees, and political parties. In the subsequent case, McCutcheon v. Federal Election Commission (2013), the Court ruled in a 5–4 decision that limits on the amount of political contributions established by the BCRA are unconstitutional. The Court held that “contributing money to a candidate is an exercise of an individual’s right to participate in the electoral process. . . . A restriction on how many candidates and committees an individual may support is hardly a ‘modest restraint’ on those rights. The government may no more restrict how many candidates or causes a donor may support than it may tell a newspaper how many candidates it may endorse.” A.Identify the civil liberty that is common in both Citizens United v. Federal Election Commission (2010) and McCutcheon v. Federal Election Commission (2013). B.Explain how the decision in Citizens United v. Federal Election Commission relates to the reasoning in McCutcheon v. Federal Election Commission. C.Explain how the decision in McCutcheon v. Federal Election Commission can be used to support the participatory, pluralist, or elite model of democracy.",SAQ,3,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-gov-pol-set-1.pdf,Set 1
Environmental regulation is a complex policy area that involves both the states and the federal government. Develop an argument that takes a position on whether the federal government should be primarily responsible for managing environmental policy or if it should be the responsibility of the states. Use at least one piece of evidence from one of the following foundational documents: Brutus 1 The Federalist 10 The Preamble of the United States Constitution,LEQ,4,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-gov-pol-set-1.pdf,Set 1
"Since 2008 the Alliance Defending Freedom, a conservative Christian interest group, has promoted an annualevent known as Pulpit Freedom Sunday. On this occasion, pastors are encouraged to challenge a provision ofthe tax law known as the Johnson Amendment, which prohibits political activity by certain nonprofitorganizations, including religious organizations. While the Johnson Amendment does not restrict religiousleaders from speaking out regarding social issues, it does prohibit them from contributing money to politicalcampaigns or speaking out in favor or against candidates running for political office. On Pulpit Freedom Sunday, as an act of civil disobedience, pastors and religious leaders preach openly aboutthe moral qualifications of candidates seeking office. After reading the scenario, please respond to A, B, and C below. A.Describe an action Congress could take to address the concerns of the interest group in the scenario. B.In the context of the scenario, explain how partisan divisions could prevent the action described in. C.Explain why the Alliance Defending Freedom might argue that their constitutional rights arethreatened by the Johnson Amendment.",SAQ,1,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-government-and-politics.pdf, 
"Use the bar graph to answer the following questions. A.Identify the political affiliation of people who are most likely to believe elected officials shouldcompromise. B.Describe the difference between Democrats and Republicans on their attitudes of whethergovernment officials should stick to their principles, based on the data in the bar graph. C.Explain how the data in the bar graph could influence how a Republican candidate would shift his orher campaign positions after securing the Republican nomination for president. D.Explain how the data in the bar graph could affect policy making interactions between the presidentand Congress.",SAQ,2,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-government-and-politics.pdf, 
"This question requires you to compare a Supreme Court case you studied in class with one you have not studiedin class. A summary of the Supreme Court case you did not study in class is presented below and provides allof the information you need to know about this case to answer the prompt. In the 1950s, Pete Hernandez, a Mexican American agricultural worker, was found guilty of murder andsentenced to life in prison by an all-white jury in Jackson County, Texas. Hernandez’s defense claimed thatpeople of Mexican ancestry had been discriminated against in Jackson County. They pointed to the fact that noperson of Mexican ancestry had served on a jury in 25 years and that the Jackson County Courthouse itselfpracticed segregation in its facilities. The five jury commissioners, who selected the members of the grand jury,testified under oath that they selected jurors based only on their qualifications and did not consider race ornational origin in their decisions. In the ensuing case, Hernandez v. Texas (1954), the Supreme Court unanimously ruled in favor of Hernandez,deciding that evidence of discrimination against Mexican Americans existed in Jackson County and that theConstitution prohibits such discrimination. Based on the information above, respond to the following questions. A.Identify the clause in the Fourteenth Amendment that was used as the basis for the decision in bothBrown v. Board of Education (1954) and Hernandez v. Texas (1954). B.Explain how the facts in both Brown v. Board of Education and Hernandez v. Texas led to a similardecision in both cases. C.Explain how an interest group could use the decision in Hernandez v. Texas to advance its agenda.",SAQ,3,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-government-and-politics.pdf, 
"The United States Constitution establishes a federal system of government. Under federalism, policy making isshared between national and state governments. Over time, the powers of the national government have increasedrelative to those of the state governments. Develop an argument about whether the expanded powers of the national government benefits or hinders policymaking. Use at least one piece of evidence from one of the following foundational documents: The Articles of Confederation Brutus 1 The Federalist 10",LEQ,4,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-government-and-politics.pdf, 
Political parties seek to win elections to control government. Identify two activities that political parties do to win elections. Describe one way third parties can affect elections. Explain how single-member districts make it difficult for third parties to win elections. Explain how electoral competition is affected by gerrymandering.,SAQ,1,2018,https://apcentral.collegeboard.org/media/pdf/ap18-frq-us-gov-pol.pdf, 
Public opinion polls are commonly used by politicians and the media. Identify two characteristics of a reliable scientific public opinion poll. Describe two ways polling results are used by politicians. Explain how frequent public opinion polls impact media coverage of political campaigns.,SAQ,2,2018,https://apcentral.collegeboard.org/media/pdf/ap18-frq-us-gov-pol.pdf, 
